ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
3NE2,small_airport,Phillips Private Airport,4370,NA,US,US-NE,Hemingford,3NE2,3NE2,"42.327701568603516, -103.19400024414062"
3NE3,small_airport,Wells Airport,2275,NA,US,US-NE,Holdrege,3NE3,3NE3,"40.5, -99.31700134277344"
3NE6,small_airport,Burkinshaw Field,2200,NA,US,US-NE,Jamison,3NE6,3NE6,"42.96670150756836, -99.26699829101562"
3NE7,small_airport,Pawlet Ranch Airport,3850,NA,US,US-NE,Lakeside,3NE7,3NE7,"41.8291015625, -102.34300231933594"
3NE9,small_airport,Phelps Airport,4400,NA,US,US-NE,Lorenzo,3NE9,3NE9,"41.041099548339844, -103.06800079345703"
3NH2,seaplane_base,Flying Loon Seaplane Base,1400,NA,US,US-NH,Nelson,3NH2,3NH2,"42.9737639, -72.0847278"
3NH9,heliport,Longview Heliport,560,NA,US,US-NH,Alton,3NH9,3NH9,"43.54759979248047, -71.22699737548828"
3NJ0,heliport,Hamilton Farm Golf Club Heliport,308,NA,US,US-NJ,Bedminster,3NJ0,3NJ0,"40.707801818847656, -74.68389892578125"
3NJ1,small_airport,Pemberton Airport,65,NA,US,US-NJ,Pemberton,3NJ1,3NJ1,"39.98210144042969, -74.69270324707031"
3NJ2,heliport,Educational Testing Heliport,270,NA,US,US-NJ,Princeton,3NJ2,3NJ2,"40.341800689697266, -74.71630096435547"
3NJ3,heliport,Dow Jones & Co. Inc. Heliport,76,NA,US,US-NJ,Princeton,3NJ3,3NJ3,"40.370399475097656, -74.58599853515625"
3NJ4,heliport,Sarnoff Princeton Heliport,90,NA,US,US-NJ,Princeton,3NJ4,3NJ4,"40.33340072631836, -74.63289642333984"
3NJ5,small_airport,Mock Airport,560,NA,US,US-NJ,Quakertown,3NJ5,3NJ5,"40.53340148925781, -74.91629791259766"
3NJ6,small_airport,Inductotherm Airport,65,NA,US,US-NJ,Rancocas,3NJ6,3NJ6,"40.015098571777344, -74.84290313720703"
3NJ7,heliport,Pfister Helistop,7,NA,US,US-NJ,Ridgefield,3NJ7,3NJ7,"40.850101470947266, -74.01629638671875"
3NJ8,heliport,Aventis Pharmaceuticals Heliport,189,NA,US,US-NJ,Bridgewater,3NJ8,3NJ8,"40.62260055541992, -74.63269805908203"
3NJ9,small_airport,Allen Airstrip,51,NA,US,US-NJ,Vincentown,3NJ9,3NJ9,"39.9411125183, -74.77083587650002"
3NK0,small_airport,Mc Kinney Airport,547,NA,US,US-NY,Brockport,3NK0,3NK0,"43.2030982971, -77.90249633790002"
3NK1,heliport,Community General Hospital Heliport,1250,NA,US,US-NY,Harris,3NK1,3NK1,"41.70930099487305, -74.73600006103516"
3NK2,heliport,Bassett Heliport,1243,NA,US,US-NY,Cooperstown,3NK2,3NK2,"42.68949890136719, -74.92150115966797"
3NK3,heliport,Linuo American Campus Heliport,322,NA,US,US-NY,Hopewell Junction,3NK3,3NK3,"41.533948, -73.833359"
3NK4,small_airport,Laska Airport,1480,NA,US,US-NY,Jamestown,3NK4,3NK4,"42.027801513671875, -79.19419860839844"
3NK5,small_airport,Secret Spot Airport,155,NA,US,US-NY,Plattsburgh,3NK5,3NK5,"44.61669921875, -73.46530151367188"
3NK6,small_airport,Tuscarora Plateau Airport,900,NA,US,US-NY,Tuscarora,3NK6,3NK6,"42.637001037597656, -77.88390350341797"
3NK7,heliport,B/G Heliport,1100,NA,US,US-NY,Gilboa/Grand Gorge,3NK7,3NK7,"42.424800872802734, -74.45099639892578"
3NK8,small_airport,B Flat Farm Airport,800,NA,US,US-NY,Copake,3NK8,3NK8,"42.14059829711914, -73.61190032958984"
3NK9,heliport,Arnot Ogden Hospital Heliport,909,NA,US,US-NY,Elmira,3NK9,3NK9,"42.10089874267578, -76.82550048828125"
3NO,small_airport,North Omaha Airport,1322,NA,US,US-NE,Omaha,3NO,3NO,"41.36830139160156, -96.02249908447266"
3NP,small_airport,Napoleon Airport,963,NA,US,US-MI,Napoleon,3NP,3NP,"42.1708984375, -84.25969696044922"
3NR3,small_airport,Transylvania Community Airport,2110,NA,US,US-NC,Brevard,3NR3,3NR3,"35.270277, -82.644167"
3NV3,heliport,Remlinger Ranch Heliport,5090,NA,US,US-NV,New Washoe City,3NV3,3NV3,"39.25910186767578, -119.75499725341797"
3NY0,small_airport,The Ranch Airport,1110,NA,US,US-NY,Charleston,3NY0,3NY0,"42.827301025390625, -74.40399932861328"
3NY1,closed,Old Orchard Road Heliport,527,NA,US,US-NY,Armonk,,,"41.114799, -73.715103"
3NY2,heliport,Astoria Heliport,15,NA,US,US-NY,Astoria,3NY2,3NY2,"40.78620147705078, -73.91210174560547"
3NY3,small_airport,De Ronda Airport,1650,NA,US,US-NY,Springfield,3NY3,3NY3,"42.859798431396484, -74.82430267333984"
3NY4,small_airport,Di Stefano Airpark,500,NA,US,US-NY,Fort Plain,3NY4,3NY4,"42.922000885009766, -74.62680053710938"
3NY5,small_airport,Luke Airport,1558,NA,US,US-NY,Binghamton,3NY5,3NY5,"42.02370071411133, -75.95709991455078"
3NY6,small_airport,Six Ponds Airport,1125,NA,US,US-NY,Duanesburg,3NY6,3NY6,"42.84120178222656, -74.17870330810547"
3NY7,small_airport,Hiserts Airpark Inc Airport,813,NA,US,US-NY,Ephratah,3NY7,3NY7,"42.984398, -74.519083"
3NY8,heliport,Suny Health Science Center Heliport,452,NA,US,US-NY,Syracuse,3NY8,3NY8,"43.04199981689453, -76.1405029296875"
3NY9,small_airport,Hilltop Airport,1385,NA,US,US-NY,Colden,3NY9,3NY9,"42.664398193359375, -78.67310333251953"
3O5,small_airport,Walters Municipal Airport,1058,NA,US,US-OK,Walters,3O5,3O5,"34.37260055541992, -98.40589904785156"
3O8,small_airport,Harris Ranch Airport,470,NA,US,US-CA,Coalinga,3O8,3O8,"36.24800109863281, -120.23799896240234"
3OA8,small_airport,Valley Vista Airport,720,NA,US,US-OH,Bainbridge,3OA8,3OA8,"39.23759841918945, -83.26069641113281"
3OA9,heliport,Memorial Hospital of Union County Heliport,1001,NA,US,US-OH,Marysville,3OA9,3OA9,"40.229400634765625, -83.3677978515625"
3OG3,small_airport,Dillon Field Airport,4092,NA,US,US-OR,Klamath Falls,3OG3,3OG3,"42.122222, -121.791667"
3OH0,small_airport,Andy Barnhart Memorial Airport,895,NA,US,US-OH,New Carlisle,3OH0,3OH0,"39.93090057373047, -84.01349639892578"
3OH1,small_airport,Morningstar North Airport,982,NA,US,US-OH,West Alexandria,3OH1,3OH1,"39.69729995727539, -84.5427017211914"
3OH2,heliport,Api Heliport,1120,NA,US,US-OH,North Lawrence,3OH2,3OH2,"40.810298919677734, -81.62930297851562"
3OH3,closed,Pelz Field,990,NA,US,US-OH,South Vienna,,,"39.983898, -83.613298"
3OH4,small_airport,Riceland Aerodrome,1115,NA,US,US-OH,Andover,3OH4,3OH4,"41.60390090942383, -80.58979797363281"
3OH5,closed,Stub's Field,1130,NA,US,US-OH,Alliance,,,"40.9674, -81.205801"
3OH6,small_airport,Youngpeter Airport,815,NA,US,US-OH,Delphos,3OH6,3OH6,"40.78329849243164, -84.3677978515625"
3OH7,small_airport,Creager Airport,895,NA,US,US-OH,Williamsburg,,,"39.030102, -84.0466"
3OH8,small_airport,Gnadenhutten Airport,842,NA,US,US-OH,Gnadenhutten,3OH8,3OH8,"40.360801696777344, -81.42330169677734"
3OH9,small_airport,Merts Field,1010,NA,US,US-OH,Wilmington,3OH9,3OH9,"39.55350112915039, -83.85209655761719"
3OI4,heliport,Valley View Heliport,700,NA,US,US-OH,Norwalk,3OI4,3OI4,"41.249900817871094, -82.66519927978516"
3OI5,heliport,Welded Heliport,635,NA,US,US-OH,Perrysburg,3OI5,3OI5,"41.545101165771484, -83.64440155029297"
3OI6,small_airport,Vogel Airpark,1028,NA,US,US-OH,Savannah,3OI6,3OI6,"40.96120071411133, -82.37069702148438"
3OI7,heliport,Valley Asphalt Heliport,580,NA,US,US-OH,Sharonville,3OI7,3OI7,"39.2859001159668, -84.4301986694336"
3OI8,heliport,St Luke's Hospital Heliport,638,NA,US,US-OH,Maumee,3OI8,3OI8,"41.55699920654297, -83.68240356445312"
3OI9,heliport,V.J.S. Heliport,1050,NA,US,US-OH,Pepper Pike,3OI9,3OI9,"41.47639846801758, -81.46600341796875"
3OK0,small_airport,Valley Airport,780,NA,US,US-OK,Ada,3OK0,3OK0,"34.70500183105469, -96.57669830322266"
3OK1,small_airport,Okarche Airport,1239,NA,US,US-OK,Okarche,3OK1,3OK1,"35.72999954223633, -97.96700286865234"
3OK2,closed,Hopcus Farms Airport,1110,NA,US,US-OK,Jones,,,"35.591999, -97.327798"
3OK3,heliport,Cedar Crest Heliport,582,NA,US,US-OK,Locust Grove,3OK3,3OK3,"36.105098724365234, -95.23519897460938"
3OK4,heliport,St Anthony Heliport,1300,NA,US,US-OK,Oklahoma City,3OK4,3OK4,"35.479000091552734, -97.5177993774414"
3OK5,small_airport,Bearden Private Airport,1180,NA,US,US-OK,Lindsay,3OK5,3OK5,"34.728599548300004, -97.605796814"
3OK6,closed,Mauney Heliport,680,NA,US,US-OK,Tulsa,,,"36.0784, -95.859398"
3OK7,small_airport,Double W Airport,790,NA,US,US-OK,Sand Springs,3OK7,3OK7,"36.241798400878906, -96.13420104980469"
3OK8,small_airport,Flying G Ranch Airport,890,NA,US,US-OK,Sand Springs,3OK8,3OK8,"36.11669921875, -96.23359680175781"
3OK9,small_airport,Jazz Ranch Airport,1080,NA,US,US-OK,Shawnee,3OK9,3OK9,"35.321786, -97.040083"
3OL8,small_airport,Harrison Airport,805,NA,US,US-OK,Welch,3OL8,3OL8,"36.877899169921875, -95.14910125732422"
3OR0,heliport,Pge Service Center Heliport,76,NA,US,US-OR,Portland,3OR0,3OR0,"45.49599838256836, -122.64800262451172"
3OR1,small_airport,Cubehole Airport,355,NA,US,US-OR,Brownsville,3OR1,3OR1,"44.364601135253906, -122.95800018310547"
3OR2,small_airport,Maxwell Private Airport,2710,NA,US,US-OR,La Grande,3OR2,3OR2,"45.312400817871094, -117.95899963378906"
3OR3,heliport,Hessel Tractor Heliport,284,NA,US,US-OR,Portland,3OR3,3OR3,"45.58869934082031, -122.65399932861328"
3OR4,heliport,Babler Bros Inc Heliport,50,NA,US,US-OR,Portland,3OR4,3OR4,"45.57979965209961, -122.65799713134766"
3OR5,heliport,Elkins Heliport,550,NA,US,US-OR,Salem,3OR5,3OR5,"44.86009979248047, -123.03800201416016"
3OR6,heliport,Western Div Service Center Heliport,234,NA,US,US-OR,Progress,3OR6,3OR6,"45.45399856567383, -123.15499877929688"
3OR7,heliport,Trojan Heliport,26,NA,US,US-OR,Rainier,3OR7,3OR7,"46.033199310302734, -123.11799621582031"
3OR8,small_airport,Cline Falls Air Park,2920,NA,US,US-OR,Redmond,3OR8,3OR8,"44.283199310302734, -121.26899719238281"
3OR9,small_airport,Murphy Ranch Airport,3465,NA,US,US-OR,Juntura,3OR9,3OR9,"43.957401275634766, -118.13200378417969"
3PA0,small_airport,Horst Airport,450,NA,US,US-PA,Lebanon,3PA0,3PA0,"40.383399963378906, -76.46640014648438"
3PA1,small_airport,Navarro Airport,540,NA,US,US-PA,Sellersville,3PA1,3PA1,"40.37229919433594, -75.33769989013672"
3PA2,small_airport,Neeb Airport,825,NA,US,US-PA,Lehighton,3PA2,3PA2,"40.88059997558594, -75.63569641113281"
3PA3,closed,Lehman Airport,1300,NA,US,US-PA,Lehman,,,"41.3167, -76.049599"
3PA4,small_airport,Giffin Airport,840,NA,US,US-PA,Leraysville,3PA4,3PA4,"41.77790069580078, -76.13719940185547"
3PA5,heliport,Davis Family Furniture Heliport,1000,NA,US,US-PA,Adamsburg,3PA5,3PA5,"40.310298919677734, -79.65499877929688"
3PA6,small_airport,Fox Hollow Airport,540,NA,US,US-PA,Lewisburg,3PA6,3PA6,"40.99340057373047, -76.90019989013672"
3PA7,heliport,Nason Medical Center LLC Heliport,1336,NA,US,US-PA,Roaring Spring,3PA7,3PA7,"40.339663, -78.389907"
3PA8,small_airport,Harris Airport,575,NA,US,US-PA,Lincoln University,3PA8,3PA8,"39.82040023803711, -75.92579650878906"
3PA9,small_airport,Moyer Airport,330,NA,US,US-PA,Line Lexington,3PA9,3PA9,"40.29679870605469, -75.24800109863281"
3PN0,small_airport,Schulteis Airport,680,NA,US,US-PA,Biglerville,3PN0,3PN0,"39.96039962768555, -77.25910186767578"
3PN1,small_airport,Ashlawn Airport,1511,NA,US,US-PA,Clifford,3PN1,3PN1,"41.62200164794922, -75.59629821777344"
3PN2,small_airport,Karlindo Airport,530,NA,US,US-PA,Fairfield,3PN2,3PN2,"39.75899887084961, -77.34750366210938"
3PN3,small_airport,Countryside Airport,1260,NA,US,US-PA,Lehman,3PN3,3PN3,"41.28369903564453, -76.03520202636719"
3PN4,heliport,UPMC Jameson Heliport,945,NA,US,US-PA,New Castle,3PN4,3PN4,"41.012685, -80.35172"
3PN5,heliport,H.G.F. Heliport,420,NA,US,US-PA,Allentown,3PN5,3PN5,"40.565101623535156, -75.55799865722656"
3PN6,small_airport,Gravel Run Airport,1240,NA,US,US-PA,Cambridge Springs,3PN6,3PN6,"41.750099182128906, -80.08309936523438"
3PN7,small_airport,Stahl's Mountain Airport,1950,NA,US,US-PA,Union Dale,3PN7,3PN7,"41.74789810180664, -75.49739837646484"
3PN8,heliport,Wyeth Pharmaceuticals Heliport,186,NA,US,US-PA,Collegeville,3PN8,3PN8,"40.158699035599994, -75.4634017944"
3PN9,small_airport,Phil Cain Memorial Field,1210,NA,US,US-PA,Export,3PN9,3PN9,"40.44179916381836, -79.55010223388672"
3PS0,heliport,Chester County Hospital Heliport,460,NA,US,US-PA,West Chester,3PS0,3PS0,"39.970699310302734, -75.60379791259766"
3PS1,heliport,Pitcairn Heliport,190,NA,US,US-PA,Bryn Athyn,3PS1,3PS1,"40.12590026855469, -75.07879638671875"
3PS2,heliport,Chestnut Street Garage Heliport,385,NA,US,US-PA,Harrisburg,3PS2,3PS2,"40.258399963378906, -76.87969970703125"
3PS3,heliport,Richard L Miller Heliport,590,NA,US,US-PA,Myerstown,3PS3,3PS3,"40.38930130004883, -76.31079864501953"
3PS4,small_airport,Mountain Hide-Away Airport,1604,NA,US,US-PA,Millcreek,3PS4,3PS4,"40.72359848022461, -77.98739624023438"
3PS5,heliport,Shamokin Hospital Heliport,720,NA,US,US-PA,Shamokin,3PS5,3PS5,"40.80540084838867, -76.56999969482422"
3PS6,heliport,Divine Providence Hospital Heliport,581,NA,US,US-PA,Williamsport,3PS6,3PS6,"41.260101318359375, -76.9832992553711"
3PS7,heliport,Coxton Lake Heliport,2110,NA,US,US-PA,Lakewood,3PS7,3PS7,"41.85810089111328, -75.44889831542969"
3PS8,small_airport,Yingst Airport,701,NA,US,US-PA,Harrisburg,3PS8,3PS8,"40.39580154418945, -76.74579620361328"
3PS9,small_airport,Risker Field,1100,NA,US,US-PA,Bulger,3PS9,3PS9,"40.37839889526367, -80.34950256347656"
3Q0,small_airport,Mina Airport,4552,NA,US,US-NV,Mina,3Q0,3Q0,"38.38330078125, -118.10099792480469"
3R8,small_airport,Scottsburg Airport,600,NA,US,US-IN,Scottsburg,3R8,3R8,"38.65729904174805, -85.79019927978516"
3RU,small_airport,Rust Airstrip,810,NA,US,US-GA,Woolsey,3RU,3RU,"33.33259963989258, -84.40190124511719"
3S2,small_airport,Swans Field,400,NA,US,US-ME,Dixfield,3S2,3S2,"44.51409912109375, -70.40679931640625"
3S5,small_airport,Schiffer Acres Airport,735,NA,US,US-MI,St Johns,3S5,3S5,"43.0359001159668, -84.43389892578125"
3S6,small_airport,Toketee State Airport,3361,NA,US,US-OR,Clearwater,3S6,3S6,"43.2234992980957, -122.4209976196289"
3S7,small_airport,Nehalem Bay State Airport,22,NA,US,US-OR,Manzanita,3S7,3S7,"45.69820022583008, -123.93000030517578"
3SC2,small_airport,Yahu Field,140,NA,US,US-SC,Summerton,3SC2,3SC2,"33.601944, -80.306111"
3SC3,heliport,Carolina Pines Regional Medical Center Heliport,228,NA,US,US-SC,Hartsville,3SC3,3SC3,"34.34939956665039, -80.10330200195312"
3SC4,small_airport,Crooked Fence Farm Airport,645,NA,US,US-SC,Woodruff,3SC4,3SC4,"34.77360153198242, -81.98639678955078"
3SC7,small_airport,Jordan Airport,33,NA,US,US-SC,Andrews,SC57,SC57,"33.540569, -79.534174"
3SD3,small_airport,Brown Field,2780,NA,US,US-SD,Scenic,3SD3,3SD3,"43.811798095703125, -102.72000122070312"
3SD4,small_airport,Chris Hofer Landing Strip,1491,NA,US,US-SD,Tea,3SD4,3SD4,"43.465599060058594, -96.86329650878906"
3SD5,heliport,Dilligaf Heliport,6020,NA,US,US-SD,Lead,3SD5,3SD5,"44.22740173339844, -103.77899932861328"
3SD6,small_airport,Running Colors Airport,2920,NA,US,US-SD,Rapid City,3SD6,3SD6,"44.20220184326172, -103.0790023803711"
3T0,small_airport,Cedar Mills Airport,640,NA,US,US-TX,Gordonville,3T0,3T0,"33.839298248291016, -96.81009674072266"
3T2,small_airport,Wolfe Air Park,55,NA,US,US-TX,Manvel,3T2,3T2,"29.479999542236328, -95.32720184326172"
3T4,small_airport,Tetlin Airport,1663,NA,US,US-AK,Tetlin,3T4,3T4,"63.125, -142.51800537109375"
3T6,small_airport,Clark Airport,705,NA,US,US-TX,Justin,3T6,3T6,"33.13349914550781, -97.29669952392578"
3T7,small_airport,Middle Bass Island Airport,580,NA,US,US-OH,Middle Bass Island,3T7,3T7,"41.68510055541992, -82.80490112304688"
3T8,small_airport,Wildcat Canyon Airport,660,NA,US,US-TX,China Spring,3T8,3T8,"31.678800582885742, -97.36280059814453"
3TA,small_airport,Stafford Municipal Airport,1886,NA,US,US-KS,Stafford,3TA,3TA,"37.95830154418945, -98.65039825439453"
3TA0,small_airport,Four Square Ranch Airport,2250,NA,US,US-TX,Rocksprings,3TA0,3TA0,"30.096900939941406, -100.40499877929688"
3TA1,closed,Diamond K Ranch Airport,1600,NA,US,US-TX,Comfort,,,"30.0366, -98.697502"
3TA2,small_airport,Clark Sky Ranch Airport,145,NA,US,US-TX,Sealy,3TA2,3TA2,"29.736600875854492, -96.06410217285156"
3TA3,heliport,Baltzell's Las Brisas Heliport,1165,NA,US,US-TX,Bandera,3TA3,3TA3,"29.588300704956055, -98.94609832763672"
3TA4,small_airport,Tin Top Ranch Airport,1300,NA,US,US-TX,Brownwood,3TA4,3TA4,"31.48579978942871, -98.9760971069336"
3TA5,small_airport,Blanco Landing Airport,1460,NA,US,US-TX,Blanco,3TA5,3TA5,"30.122467, -98.374783"
3TA6,small_airport,Spring Ranch Airport,1440,NA,US,US-TX,Brackettville,3TA6,3TA6,"29.541900634765625, -100.25299835205078"
3TA7,small_airport,Jim Sears Airport,900,NA,US,US-TX,Bridgeport,3TA7,3TA7,"33.143699645996094, -97.80449676513672"
3TA8,small_airport,Picosa Ranch Airport,600,NA,US,US-TX,Crystal City,3TA8,3TA8,"28.71969985961914, -100.05500030517578"
3TA9,small_airport,Chacon Creek Ranch Airport,595,NA,US,US-TX,Crystal City,3TA9,3TA9,"28.708599090576172, -100.00700378417969"
3TE,small_airport,Al Meyers Airport,815,NA,US,US-MI,Tecumseh,,3TE,"42.025101, -83.939201"
3TE0,small_airport,K Ranch Airport,285,NA,US,US-TX,Iola,3TE0,3TE0,"30.731599807739258, -96.131103515625"
3TE1,small_airport,Gum Island Airport,53,NA,US,US-TX,Dayton,3TE1,3TE1,"29.95159912109375, -94.90440368652344"
3TE2,heliport,Texas Commerce Bank Building Heliport,458,NA,US,US-TX,Houston,3TE2,3TE2,"29.758800506591797, -95.36380004882812"
3TE3,small_airport,Lazy Dog Ranch Airpark,600,NA,US,US-TX,Nevada,3TE3,3TE3,"33.074013, -96.432"
3TE4,small_airport,Hot Springs Airport,3071,NA,US,US-TX,Ruidosa,3TE4,3TE4,"30.008800506591797, -104.66500091552734"
3TE5,small_airport,Stamps Field,3445,NA,US,US-TX,Panhandle,3TE5,3TE5,"35.33060073852539, -101.38500213623047"
3TE6,small_airport,Skellytown Airport,3280,NA,US,US-TX,Skellytown,3TE6,3TE6,"35.56999969482422, -101.16899871826172"
3TE7,small_airport,Mills Ranch Airport,1965,NA,US,US-TX,Pandale,3TE7,3TE7,"30.241899490356445, -101.41699981689453"
3TE8,small_airport,Terlingua Airport,2717,NA,US,US-TX,Terlingua /Alpine/,3TE8,3TE8,"29.319400787353516, -103.58399963378906"
3TE9,small_airport,Pinoak Airport,91,NA,US,US-TX,Dayton,3TE9,3TE9,"30.10580062866211, -94.95880126953125"
3TN0,small_airport,Indian Springs Airport,1580,NA,US,US-TN,Kingsport,3TN0,3TN0,"36.535, -82.423889"
3TN1,heliport,Methodist Hospital-North Heliport,346,NA,US,US-TN,Memphis,3TN1,3TN1,"35.23400115966797, -89.89289855957031"
3TN2,seaplane_base,Merian Seaplane Base,740,NA,US,US-TN,Kingston,3TN2,3TN2,"35.82170104980469, -84.61100006103516"
3TN3,small_airport,Wayne's World Airport,440,NA,US,US-TN,Dresden,3TN3,3TN3,"36.263301849365234, -88.7572021484375"
3TN4,small_airport,Kenner Farm Airport,940,NA,US,US-TN,Seymour,3TN4,3TN4,"35.88090133666992, -83.72709655761719"
3TN5,heliport,Holston Valley Medical Center Heliport,1270,NA,US,US-TN,Kingsport,3TN5,3TN5,"36.553643, -82.552815"
3TN6,small_airport,Wilson Field,435,NA,US,US-TN,Memphis,3TN6,3TN6,"35.0968017578125, -89.28060150146484"
3TN7,heliport,Pigeon Forge Heliport,1400,NA,US,US-TN,Pigeon Forge,3TN7,3TN7,"35.724300384521484, -83.63929748535156"
3TN8,small_airport,Massingale Airport,840,NA,US,US-TN,Lenoir City,3TN8,3TN8,"35.763999938964844, -84.1874008178711"
3TN9,small_airport,Holenthawall Airport,645,NA,US,US-TN,Springfield,3TN9,3TN9,"36.61330032348633, -86.810302734375"
3TS0,small_airport,East Side Airport,373,NA,US,US-TX,Longview,3TS0,3TS0,"32.50849914550781, -94.70020294189453"
3TS1,small_airport,White Wings Airport,1083,NA,US,US-TX,Wimberley,3TS1,3TS1,"30.01140022277832, -98.04049682617188"
3TS2,heliport,West Hospital Authority Heliport,650,NA,US,US-TX,West,3TS2,3TS2,"31.816400528, -97.09279632570001"
3TS3,small_airport,J-D Ranch Airport,34,NA,US,US-TX,Alvin,3TS3,3TS3,"29.37470054626465, -95.29049682617188"
3TS4,heliport,Intermedics Heliport,34,NA,US,US-TX,Angleton,3TS4,3TS4,"29.20330047607422, -95.4374008178711"
3TS5,small_airport,Purdy-Nielsen Memorial Airpark,105,NA,US,US-TX,Beasley,3TS5,3TS5,"29.471099853515625, -95.88629913330078"
3TS6,heliport,Lawrence Administrative Services Inc Heliport,252,NA,US,US-TX,Conroe,3TS6,3TS6,"30.345199584960938, -95.47769927978516"
3TS7,small_airport,Pavlat Airport,70,NA,US,US-TX,Dayton,3TS7,3TS7,"30.021099090576172, -94.94599914550781"
3TS8,heliport,Dailey Inc Heliport,25,NA,US,US-TX,Houston,3TS8,3TS8,"29.789400100708008, -95.27739715576172"
3TS9,small_airport,Oak Glen Ranch Airport,430,NA,US,US-TX,Cooper,3TS9,3TS9,"33.37929916381836, -95.60359954833984"
3TX0,heliport,Texas Department of Public Safety Heliport,37,NA,US,US-TX,Corpus Christi,3TX0,3TX0,"27.74110031, -97.43499756"
3TX1,small_airport,Paradise Point Airport,345,NA,US,US-TX,Berryville,3TX1,3TX1,"32.09170150756836, -95.4447021484375"
3TX2,small_airport,Flying S Farm Airport,780,NA,US,US-TX,Justin,3TX2,3TX2,"33.0806999206543, -97.3488998413086"
3TX3,small_airport,Sitton Field,682,NA,US,US-TX,Justin,3TX3,3TX3,"33.119598388671875, -97.3197021484375"
3TX4,small_airport,Willow Run Airport,820,NA,US,US-TX,Justin,3TX4,3TX4,"33.094600677490234, -97.38030242919922"
3TX5,closed,Mc Creless Farm Airport,600,NA,US,US-TX,Adkins,,,"29.371099, -98.231697"
3TX6,small_airport,Lowell Smith Jr Airport,740,NA,US,US-TX,Rio Vista,3TX6,3TX6,"32.233481, -97.380849"
3TX7,small_airport,Flying P Airport,805,NA,US,US-TX,Justin,3TX7,3TX7,"33.14080047607422, -97.37110137939453"
3TX8,closed,Drop Field,700,NA,US,US-TX,Justin,,,"33.125099, -97.346102"
3TX9,small_airport,Rafter J Airport,710,NA,US,US-TX,Burleson,3TX9,3TX9,"32.5275993347168, -97.28079986572266"
3U0,small_airport,Murphy Hot Springs Airport,5829,NA,US,US-ID,Three Creek,3U0,3U0,"42.02069854736328, -115.33799743652344"
3U1,small_airport,Warren /US Forest Service/ Airport,5896,NA,US,US-ID,Warren,3U1,3U1,"45.2681999207, -115.682998657"
3U2,small_airport,Johnson Creek Airport,4933,NA,US,US-ID,Yellow Pine,3U2,3U2,"44.912215, -115.485433"
3U5,small_airport,Augusta Airport,4145,NA,US,US-MT,Augusta,3U5,3U5,"47.46329879760742, -112.37999725341797"
3U9,small_airport,Boulder Airport,4968,NA,US,US-MT,Boulder,3U9,3U9,"46.21160125732422, -112.10600280761719"
3VA0,small_airport,Ayres-Aicp Airport,530,NA,US,US-VA,Warrenton,3VA0,3VA0,"38.775901794433594, -77.91059875488281"
3VA1,small_airport,The Meadows Airport,584,NA,US,US-VA,Warrenton,3VA1,3VA1,"38.77429962158203, -77.79969787597656"
